"TTC1","Exodus 20:3","You shall have no other gods before me."
"TSOM71","Matthew 6:23","But if your eyes are unhealthy, your whole body will be full of darkness. If then the light within you is darkness, how great is that darkness!"
"TSOM72","Matthew 6:24","&ldquo;No one can serve two masters. Either you will hate the one and love the other, or you will be devoted to the one and despise the other. You cannot serve both God and money."
"TSOM73","Matthew 6:25","&ldquo;Therefore I tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear. Is not life more than food, and the body more than clothes?"
"TSOM74","Matthew 6:26","Look at the birds of the air; they do not sow or reap or store away in barns, and yet your heavenly Father feeds them. Are you not much more valuable than they?"
"TSOM75","Matthew 6:27","Can any one of you by worrying add a single hour to your life?"
"TSOM76","Matthew 6:28","&ldquo;And why do you worry about clothes? See how the flowers of the field grow. They do not labor or spin."
"TSOM77","Matthew 6:29","Yet I tell you that not even Solomon in all his splendor was dressed like one of these."
"TSOM78","Matthew 6:30","If that is how God clothes the grass of the field, which is here today and tomorrow is thrown into the fire, will he not much more clothe you&mdash;you of little faith?"
"TSOM79","Matthew 6:31","So do not worry, saying, &lsquo;What shall we eat?&rsquo; or &lsquo;What shall we drink?&rsquo; or &lsquo;What shall we wear?&rsquo;"
"TSOM80","Matthew 6:32","For the pagans run after all these things, and your heavenly Father knows that you need them."
"TSOM81","Matthew 6:33","But seek first his kingdom and his righteousness, and all these things will be given to you as well."
"TSOM82","Matthew 6:34","Therefore do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own."
"TSOM83","Matthew 7:1","&ldquo;Do not judge, or you too will be judged."
"TSOM84","Matthew 7:2","For in the same way you judge others, you will be judged, and with the measure you use, it will be measured to you."
"TSOM85","Matthew 7:3","&ldquo;Why do you look at the speck of sawdust in your brother&rsquo;s eye and pay no attention to the plank in your own eye?"
"TSOM86","Matthew 7:4","How can you say to your brother, &lsquo;Let me take the speck out of your eye,&rsquo; when all the time there is a plank in your own eye?"
"TSOM87","Matthew 7:5","You hypocrite, first take the plank out of your own eye, and then you will see clearly to remove the speck from your brother&rsquo;s eye."
"TSOM88","Matthew 7:6","&ldquo;Do not give dogs what is sacred; do not throw your pearls to pigs. If you do, they may trample them under their feet, and turn and tear you to pieces."
"TSOM89","Matthew 7:7","&ldquo;Ask and it will be given to you; seek and you will find; knock and the door will be opened to you."
"TSOM90","Matthew 7:8","For everyone who asks receives; the one who seeks finds; and to the one who knocks, the door will be opened."
"TSOM91","Matthew 7:9","&ldquo;Which of you, if your son asks for bread, will give him a stone?"
"TSOM92","Matthew 7:10","Or if he asks for a fish, will give him a snake?"
"TSOM93","Matthew 7:11","If you, then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give good gifts to those who ask him!"
"TSOM94","Matthew 7:12","So in everything, do to others what you would have them do to you, for this sums up the Law and the Prophets."
"TSOM95","Matthew 7:13","&ldquo;Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, and many enter through it."
"TSOM96","Matthew 7:14","But small is the gate and narrow the road that leads to life, and only a few find it."
"TSOM97","Matthew 7:15","&ldquo;Watch out for false prophets. They come to you in sheep&rsquo;s clothing, but inwardly they are ferocious wolves."
"TSOM98","Matthew 7:16","By their fruit you will recognize them. Do people pick grapes from thornbushes, or figs from thistles?"
"TSOM99","Matthew 7:17","Likewise, every good tree bears good fruit, but a bad tree bears bad fruit."
"TSOM100","Matthew 7:18","A good tree cannot bear bad fruit, and a bad tree cannot bear good fruit."
"TSOM101","Matthew 7:19","Every tree that does not bear good fruit is cut down and thrown into the fire."
"TSOM102","Matthew 7:20","Thus, by their fruit you will recognize them."
"TSOM103","Matthew 7:21","&ldquo;Not everyone who says to me, &lsquo;Lord, Lord,&rsquo; will enter the kingdom of heaven, but only the one who does the will of my Father who is in heaven."
"TSOM104","Matthew 7:22","Many will say to me on that day, &lsquo;Lord, Lord, did we not prophesy in your name and in your name drive out demons and in your name perform many miracles?&rsquo;"
"TSOM105","Matthew 7:23","Then I will tell them plainly, &lsquo;I never knew you. Away from me, you evildoers!&rsquo;"
"TSOM106","Matthew 7:24","&ldquo;Therefore everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock."
"TSOM107","Matthew 7:25","The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock."
"TSOM108","Matthew 7:26","But everyone who hears these words of mine and does not put them into practice is like a foolish man who built his house on sand."
"TSOM109","Matthew 7:27","The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash.&rdquo;"
"TSOM110","Matthew 7:28","When Jesus had finished saying these things, the crowds were amazed at his teaching,"
"TSOM111","Matthew 7:29","because he taught as one who had authority, and not as their teachers of the law."
"TPOTS1","Mark 4:1","Again Jesus began to teach by the lake. The crowd that gathered around him was so large that he got into a boat and sat in it out on the lake, while all the people were along the shore at the water&rsquo;s edge."
"TPOTS2","Mark 4:2","He taught them many things by parables, and in his teaching said:"
"TPOTS3","Mark 4:3","&ldquo;Listen! A farmer went out to sow his seed."
"TPOTS4","Mark 4:4","As he was scattering the seed, some fell along the path, and the birds came and ate it up."
"TPOTS5","Mark 4:5","Some fell on rocky places, where it did not have much soil. It sprang up quickly, because the soil was shallow."
