"TPOTPS17","Luke 15:27","And he said to him, 'Your brother has come, and your father has killed the fattened calf, because he has received him back safe and sound.' "
"TPOTPS18","Luke 15:28","But he was angry and refused to go in. His father came out and entreated him, "
"TPOTPS19","Luke 15:29","but he answered his father, 'Look, these many years I have served you, and I never disobeyed your command, yet you never gave me a young goat, that I might celebrate with my friends. "
"TPOTPS20","Luke 15:30","But when this son of yours came, who has devoured your property with prostitutes, you killed the fattened calf for him!' "
"TPOTPS21","Luke 15:31","And he said to him, 'Son, you are always with me, and all that is mine is yours. "
"TPOTPS22","Luke 15:32","It was fitting to celebrate and be glad, for this your brother was dead, and is alive; he was lost, and is found.'&quot;"
"TCC1","John 14:1","&quot;Let not your hearts be troubled. Believe in God; believe also in me. "
"TCC2","John 14:2","In my Father's house are many rooms. If it were not so, would I have told you that I go to prepare a place for you? "
"TCC3","John 14:3","And if I go and prepare a place for you, I will come again and will take you to myself, that where I am you may be also. "
"TCC4","John 14:4","And you know the way to where I am going.&quot; "
"TCC5","John 14:5","Thomas said to him, &quot;Lord, we do not know where you are going. How can we know the way?&quot; "
"TCC6","John 14:6","Jesus said to him, &quot;I am the way, and the truth, and the life. No one comes to the Father except through me. "
"TCC7","John 14:7","If you had known me, you would have known my Father also. From now on you do know him and have seen him.&quot; "
"TCC8","John 14:8","Philip said to him, &quot;Lord, show us the Father, and it is enough for us.&quot; "
"TCC9","John 14:9","Jesus said to him, &quot;Have I been with you so long, and you still do not know me, Philip? Whoever has seen me has seen the Father. How can you say, 'Show us the Father'? "
"TCC10","John 14:10","Do you not believe that I am in the Father and the Father is in me? The words that I say to you I do not speak on my own authority, but the Father who dwells in me does his works. "
"TCC11","John 14:11","Believe me that I am in the Father and the Father is in me, or else believe on account of the works themselves. "
"TCC12","John 14:12","&quot;Truly, truly, I say to you, whoever believes in me will also do the works that I do; and greater works than these will he do, because I am going to the Father. "
"TCC13","John 14:13","Whatever you ask in my name, this I will do, that the Father may be glorified in the Son. "
"TCC14","John 14:14","If you ask me anything in my name, I will do it.  "
"TCC15","John 14:15","&quot;If you love me, you will keep my commandments. "
"TCC16","John 14:16","And I will ask the Father, and he will give you another Helper, to be with you forever, "
"TCC17","John 14:17","even the Spirit of truth, whom the world cannot receive, because it neither sees him nor knows him. You know him, for he dwells with you and will be in you. "
"TCC18","John 14:18","&quot;I will not leave you as orphans; I will come to you. "
"TCC19","John 14:19","Yet a little while and the world will see me no more, but you will see me. Because I live, you also will live. "
"TCC20","John 14:20","In that day you will know that I am in my Father, and you in me, and I in you. "
"TCC21","John 14:21","Whoever has my commandments and keeps them, he it is who loves me. And he who loves me will be loved by my Father, and I will love him and manifest myself to him.&quot; "
"TCC22","John 14:22","Judas (not Iscariot) said to him, &quot;Lord, how is it that you will manifest yourself to us, and not to the world?&quot; "
"TCC23","John 14:23","Jesus answered him, &quot;If anyone loves me, he will keep my word, and my Father will love him, and we will come to him and make our home with him. "
"TCC24","John 14:24","Whoever does not love me does not keep my words. And the word that you hear is not mine but the Father's who sent me. "
"TCC25","John 14:25","&quot;These things I have spoken to you while I am still with you. "
"TCC26","John 14:26","But the Helper, the Holy Spirit, whom the Father will send in my name, he will teach you all things and bring to your remembrance all that I have said to you. "
"TCC27","John 14:27","Peace I leave with you; my peace I give to you. Not as the world gives do I give to you. Let not your hearts be troubled, neither let them be afraid. "
"TCC28","John 14:28","You heard me say to you, 'I am going away, and I will come to you.' If you loved me, you would have rejoiced, because I am going to the Father, for the Father is greater than I. "
"TCC29","John 14:29","And now I have told you before it takes place, so that when it does take place you may believe. "
"TCC30","John 14:30","I will no longer talk much with you, for the ruler of this world is coming. He has no claim on me, "
