"JFM11","John 2:11","This beginning of miracles did Jesus in Cana of Galilee, and manifested forth his glory; and his disciples believed on him."
"TWOTHS1","John 16:5","But now I go my way to him that sent me; and none of you asketh me, Whither goest thou?"
"TWOTHS2","John 16:6","But because I have said these things unto you, sorrow hath filled your heart."
"TWOTHS3","John 16:7","Nevertheless I tell you the truth; It is expedient for you that I go away: for if I go not away, the Comforter will not come unto you; but if I depart, I will send him unto you."
"TWOTHS4","John 16:8","And when he is come, he will reprove the world of sin, and of righteousness, and of judgment:"
"TWOTHS5","John 16:9","Of sin, because they believe not on me;"
"TWOTHS6","John 16:10","Of righteousness, because I go to my Father, and ye see me no more;"
"TWOTHS7","John 16:11","Of judgment, because the prince of this world is judged."
"TWOTHS8","John 16:12","I have yet many things to say unto you, but ye cannot bear them now."
"TWOTHS9","John 16:13","Howbeit when he, the Spirit of truth, is come, he will guide you into all truth: for he shall not speak of himself; but whatsoever he shall hear, [that] shall he speak: and he will shew you things to come."
"TWOTHS10","John 16:14","He shall glorify me: for he shall receive of mine, and shall shew [it] unto you."
"TWOTHS11","John 16:15","All things that the Father hath are mine: therefore said I, that he shall take of mine, and shall shew [it] unto you."
"TCOS1","Acts 9:1","And Saul, yet breathing out threatenings and slaughter against the disciples of the Lord, went unto the high priest,"
"TCOS2","Acts 9:2","And desired of him letters to Damascus to the synagogues, that if he found any of this way, whether they were men or women, he might bring them bound unto Jerusalem."
"TCOS3","Acts 9:3","And as he journeyed, he came near Damascus: and suddenly there shined round about him a light from heaven:"
"TCOS4","Acts 9:4","And he fell to the earth, and heard a voice saying unto him, Saul, Saul, why persecutest thou me?"
"TCOS5","Acts 9:5","And he said, Who art thou, Lord? And the Lord said, I am Jesus whom thou persecutest: [it is] hard for thee to kick against the pricks."
"TCOS6","Acts 9:6","And he trembling and astonished said, Lord, what wilt thou have me to do? And the Lord [said] unto him, Arise, and go into the city, and it shall be told thee what thou must do."
"TCOS7","Acts 9:7","And the men which journeyed with him stood speechless, hearing a voice, but seeing no man."
"TCOS8","Acts 9:8","And Saul arose from the earth; and when his eyes were opened, he saw no man: but they led him by the hand, and brought [him] into Damascus."
"TCOS9","Acts 9:9","And he was three days without sight, and neither did eat nor drink."
"TCOS10","Acts 9:10","And there was a certain disciple at Damascus, named Ananias; and to him said the Lord in a vision, Ananias. And he said, Behold, I [am here,] Lord."
"TCOS11","Acts 9:11","And the Lord [said] unto him, Arise, and go into the street which is called Straight, and enquire in the house of Judas for [one] called Saul, of Tarsus: for, behold, he prayeth,"
"TCOS12","Acts 9:12","And hath seen in a vision a man named Ananias coming in, and putting [his] hand on him, that he might receive his sight."
"TCOS13","Acts 9:13","Then Ananias answered, Lord, I have heard by many of this man, how much evil he hath done to thy saints at Jerusalem:"
"TCOS14","Acts 9:14","And here he hath authority from the chief priests to bind all that call on thy name."
"TCOS15","Acts 9:15","But the Lord said unto him, Go thy way: for he is a chosen vessel unto me, to bear my name before the Gentiles, and kings, and the children of Israel:"
"TCOS16","Acts 9:16","For I will shew him how great things he must suffer for my name's sake."
"TCOS17","Acts 9:17","And Ananias went his way, and entered into the house; and putting his hands on him said, Brother Saul, the Lord, [even] Jesus, that appeared unto thee in the way as thou camest, hath sent me, that thou mightest receive thy sight, and be filled with the Holy Ghost."
"TCOS18","Acts 9:18","And immediately there fell from his eyes as it had been scales: and he received sight forthwith, and arose, and was baptized."
"TCOS19","Acts 9:19","And when he had received meat, he was strengthened.  Then was Saul certain days with the disciples which were at Damascus."
"TCOS20","Acts 9:20","And straightway he preached Christ in the synagogues, that he is the Son of God."
