"TPOTPS17","Luke 15:27","&lsquo;Your brother has come,&rsquo; he replied, &lsquo;and your father has killed the fattened calf because he has him back safe and sound.&rsquo;"
"TPOTPS18","Luke 15:28"," &ldquo;The older brother became angry and refused to go in. So his father went out and pleaded with him."
"TPOTPS19","Luke 15:29","But he answered his father, &lsquo;Look! All these years I&rsquo;ve been slaving for you and never disobeyed your orders. Yet you never gave me even a young goat so I could celebrate with my friends."
"TPOTPS20","Luke 15:30","But when this son of yours who has squandered your property with prostitutes comes home, you kill the fattened calf for him!&rsquo;"
"TPOTPS21","Luke 15:31"," &ldquo;&nbsp;&lsquo;My son,&rsquo; the father said, &lsquo;you are always with me, and everything I have is yours."
"TPOTPS22","Luke 15:32","But we had to celebrate and be glad, because this brother of yours was dead and is alive again; he was lost and is found.&rsquo;&nbsp;&rdquo;"
"TCC1","John 14:1"," &ldquo;Do not let your hearts be troubled. You believe in God ; believe also in me."
"TCC2","John 14:2","My Father&rsquo;s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?"
"TCC3","John 14:3","And if I go and prepare a place for you, I will come back and take you to be with me that you also may be where I am."
"TCC4","John 14:4","You know the way to the place where I am going.&rdquo;"
"TCC5","John 14:5","Thomas said to him, &ldquo;Lord, we don&rsquo;t know where you are going, so how can we know the way?&rdquo;"
"TCC6","John 14:6","Jesus answered, &ldquo;I am the way and the truth and the life. No one comes to the Father except through me."
"TCC7","John 14:7","If you really know me, you will know my Father as well. From now on, you do know him and have seen him.&rdquo;"
"TCC8","John 14:8","Philip said, &ldquo;Lord, show us the Father and that will be enough for us.&rdquo;"
"TCC9","John 14:9","Jesus answered: &ldquo;Don&rsquo;t you know me, Philip, even after I have been among you such a long time? Anyone who has seen me has seen the Father. How can you say, &lsquo;Show us the Father&rsquo;?"
"TCC10","John 14:10","Don&rsquo;t you believe that I am in the Father, and that the Father is in me? The words I say to you I do not speak on my own authority. Rather, it is the Father, living in me, who is doing his work."
"TCC11","John 14:11","Believe me when I say that I am in the Father and the Father is in me; or at least believe on the evidence of the works themselves."
"TCC12","John 14:12","Very truly I tell you, whoever believes in me will do the works I have been doing, and they will do even greater things than these, because I am going to the Father."
"TCC13","John 14:13","And I will do whatever you ask in my name, so that the Father may be glorified in the Son."
"TCC14","John 14:14","You may ask me for anything in my name, and I will do it."
"TCC15","John 14:15"," &ldquo;If you love me, keep my commands."
"TCC16","John 14:16","And I will ask the Father, and he will give you another advocate to help you and be with you forever&mdash;"
"TCC17","John 14:17","the Spirit of truth. The world cannot accept him, because it neither sees him nor knows him. But you know him, for he lives with you and will be in you."
"TCC18","John 14:18","I will not leave you as orphans; I will come to you."
"TCC19","John 14:19","Before long, the world will not see me anymore, but you will see me. Because I live, you also will live."
"TCC20","John 14:20","On that day you will realize that I am in my Father, and you are in me, and I am in you."
"TCC21","John 14:21","Whoever has my commands and keeps them is the one who loves me. The one who loves me will be loved by my Father, and I too will love them and show myself to them.&rdquo;"
"TCC22","John 14:22","Then Judas (not Judas Iscariot) said, &ldquo;But, Lord, why do you intend to show yourself to us and not to the world?&rdquo;"
"TCC23","John 14:23","Jesus replied, &ldquo;Anyone who loves me will obey my teaching. My Father will love them, and we will come to them and make our home with them."
"TCC24","John 14:24","Anyone who does not love me will not obey my teaching. These words you hear are not my own; they belong to the Father who sent me."
"TCC25","John 14:25"," &ldquo;All this I have spoken while still with you."
