TTC1,Exodus 20:3,Thou shalt have no other gods before me. 
TC20,John 19:20,"This title then read many of the Jews: for the place where Jesus was crucified was nigh to the city: and it was written in Hebrew, [and] Greek, [and] Latin. "
TC21,John 19:21,"Then said the chief priests of the Jews to Pilate, Write not, The King of the Jews; but that he said, I am King of the Jews. "
TC22,John 19:22,"Pilate answered, What I have written I have written. "
TC23,John 19:23,"Then the soldiers, when they had crucified Jesus, took his garments, and made four parts, to every soldier a part; and also [his] coat: now the coat was without seam, woven from the top throughout. "
TC24,John 19:24,"They said therefore among themselves, Let us not rend it, but cast lots for it, whose it shall be: that the scripture might be fulfilled, which saith, They parted my raiment among them, and for my vesture they did cast lots. These things therefore the soldiers did. "
TC25,John 19:25,"Now there stood by the cross of Jesus his mother, and his mother's sister, Mary the [wife] of Cleophas, and Mary Magdalene. "
TC26,John 19:26,"When Jesus therefore saw his mother, and the disciple standing by, whom he loved, he saith unto his mother, Woman, behold thy son! "
TC27,John 19:27,"Then saith he to the disciple, Behold thy mother! And from that hour that disciple took her unto his own [home.] "
TC28,John 19:28,"After this, Jesus knowing that all things were now accomplished, that the scripture might be fulfilled, saith, I thirst. "
TC29,John 19:29,"Now there was set a vessel full of vinegar: and they filled a spunge with vinegar, and put [it] upon hyssop, and put [it] to his mouth. "
TC30,John 19:30,"When Jesus therefore had received the vinegar, he said, It is finished: and he bowed his head, and gave up the ghost. "
TC31,John 19:31,"The Jews therefore, because it was the preparation, that the bodies should not remain upon the cross on the sabbath day, (for that sabbath day was an high day,) besought Pilate that their legs might be broken, and [that] they might be taken away. "
TC32,John 19:32,"Then came the soldiers, and brake the legs of the first, and of the other which was crucified with him. "
TC33,John 19:33,"But when they came to Jesus, and saw that he was dead already, they brake not his legs: "
TC34,John 19:34,"But one of the soldiers with a spear pierced his side, and forthwith came there out blood and water. "
TC35,John 19:35,"And he that saw [it] bare record, and his record is true: and he knoweth that he saith true, that ye might believe. "
TC36,John 19:36,"For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken. "
TC37,John 19:37,"And again another scripture saith, They shall look on him whom they pierced. "
TC38,John 19:38,"And after this Joseph of Arimathaea, being a disciple of Jesus, but secretly for fear of the Jews, besought Pilate that he might take away the body of Jesus: and Pilate gave [him] leave. He came therefore, and took the body of Jesus. "
TC39,John 19:39,"And there came also Nicodemus, which at the first came to Jesus by night, and brought a mixture of myrrh and aloes, about an hundred pound [weight. ]"
TC40,John 19:40,"Then took they the body of Jesus, and wound it in linen clothes with the spices, as the manner of the Jews is to bury. "
TC41,John 19:41,"Now in the place where he was crucified there was a garden; and in the garden a new sepulchre, wherein was never man yet laid. "
TC42,John 19:42,There laid they Jesus therefore because of the Jews' preparation [day;] for the sepulchre was nigh at hand. 
TFC1,Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not seen. "
TFC2,Hebrews 11:2,For by it the elders obtained a good report. 
TFC3,Hebrews 11:3,"Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear. "
TFC4,Hebrews 11:4,"By faith Abel offered unto God a more excellent sacrifice than Cain, by which he obtained witness that he was righteous, God testifying of his gifts: and by it he being dead yet speaketh. "
TFC5,Hebrews 11:5,"By faith Enoch was translated that he should not see death; and was not found, because God had translated him: for before his translation he had this testimony, that he pleased God. "
TFC6,Hebrews 11:6,"But without faith [it is] impossible to please [him:] for he that cometh to God must believe that he is, and [that] he is a rewarder of them that diligently seek him. "
TFC7,Hebrews 11:7,"By faith Noah, being warned of God of things not seen as yet, moved with fear, prepared an ark to the saving of his house; by the which he condemned the world, and became heir of the righteousness which is by faith. "
TFC8,Hebrews 11:8,"By faith Abraham, when he was called to go out into a place which he should after receive for an inheritance, obeyed; and he went out, not knowing whither he went. "
TFC9,Hebrews 11:9,"By faith he sojourned in the land of promise, as [in] a strange country, dwelling in tabernacles with Isaac and Jacob, the heirs with him of the same promise: "
TFC10,Hebrews 11:10,"For he looked for a city which hath foundations, whose builder and maker [is] God. "
TFC11,Hebrews 11:11,"Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised. "
TFC12,Hebrews 11:12,"Therefore sprang there even of one, and him as good as dead, [so many] as the stars of the sky in multitude, and as the sand which is by the sea shore innumerable. "
TFC13,Hebrews 11:13,"These all died in faith, not having received the promises, but having seen them afar off, and were persuaded of [them,] and embraced [them,] and confessed that they were strangers and pilgrims on the earth. "
TFC14,Hebrews 11:14,For they that say such things declare plainly that they seek a country. 
TFC15,Hebrews 11:15,"And truly, if they had been mindful of that [country] from whence they came out, they might have had opportunity to have returned. "
TFC16,Hebrews 11:16,"But now they desire a better [country,] that is, an heavenly: wherefore God is not ashamed to be called their God: for he hath prepared for them a city. "
TFC17,Hebrews 11:17,"By faith Abraham, when he was tried, offered up Isaac: and he that had received the promises offered up his only begotten [son, ]"
TFC18,Hebrews 11:18,"Of whom it was said, That in Isaac shall thy seed be called: "
TFC19,Hebrews 11:19,"Accounting that God [was] able to raise [him] up, even from the dead; from whence also he received him in a figure. "
TFC20,Hebrews 11:20,By faith Isaac blessed Jacob and Esau concerning things to come. 
TFC21,Hebrews 11:21,"By faith Jacob, when he was a dying, blessed both the sons of Joseph; and worshipped, [leaning] upon the top of his staff. "
TFC22,Hebrews 11:22,"By faith Joseph, when he died, made mention of the departing of the children of Israel; and gave commandment concerning his bones. "
TFC23,Hebrews 11:23,"By faith Moses, when he was born, was hid three months of his parents, because they saw [he was] a proper child; and they were not afraid of the king's commandment. "
TFC24,Hebrews 11:24,"By faith Moses, when he was come to years, refused to be called the son of Pharaoh's daughter; "
TFC25,Hebrews 11:25,"Choosing rather to suffer affliction with the people of God, than to enjoy the pleasures of sin for a season; "
TFC26,Hebrews 11:26,Esteeming the reproach of Christ greater riches than the treasures in Egypt: for he had respect unto the recompence of the reward. 
TFC27,Hebrews 11:27,"By faith he forsook Egypt, not fearing the wrath of the king: for he endured, as seeing him who is invisible. "
TFC28,Hebrews 11:28,"Through faith he kept the passover, and the sprinkling of blood, lest he that destroyed the firstborn should touch them. "
TFC29,Hebrews 11:29,By faith they passed through the Red sea as by dry [land:] which the Egyptians assaying to do were drowned. 
TFC30,Hebrews 11:30,"By faith the walls of Jericho fell down, after they were compassed about seven days. "
TFC31,Hebrews 11:31,"By faith the harlot Rahab perished not with them that believed not, when she had received the spies with peace. "
TFC32,Hebrews 11:32,"And what shall I more say? for the time would fail me to tell of Gedeon, and [of] Barak, and [of] Samson, and [of] Jephthae; [of] David also, and Samuel, and [of] the prophets: "
TFC33,Hebrews 11:33,"Who through faith subdued kingdoms, wrought righteousness, obtained promises, stopped the mouths of lions, "
TFC34,Hebrews 11:34,"Quenched the violence of fire, escaped the edge of the sword, out of weakness were made strong, waxed valiant in fight, turned to flight the armies of the aliens. "
TFC35,Hebrews 11:35,"Women received their dead raised to life again: and others were tortured, not accepting deliverance; that they might obtain a better resurrection: "
TFC36,Hebrews 11:36,"And others had trial of [cruel] mockings and scourgings, yea, moreover of bonds and imprisonment: "
TFC37,Hebrews 11:37,"They were stoned, they were sawn asunder, were tempted, were slain with the sword: they wandered about in sheepskins and goatskins; being destitute, afflicted, tormented; "
TFC38,Hebrews 11:38,"(Of whom the world was not worthy:) they wandered in deserts, and [in] mountains, and [in] dens and caves of the earth. "
TFC39,Hebrews 11:39,"And these all, having obtained a good report through faith, received not the promise: "
TFC40,Hebrews 11:40,"God having provided some better thing for us, that they without us should not be made perfect. "
