"TCC12","John 14:12","&quot;I assure you: The one who believes in Me will also do the works that I do. And he will do even greater works than these, because I am going to the Father. "
"TCC13","John 14:13","Whatever you ask in My name, I will do it so that the Father may be glorified in the Son. "
"TCC14","John 14:14","If you ask Me anything in My name, I will do it.  "
"TCC15","John 14:15","&quot;If you love Me, you will keep My commandments. "
"TCC16","John 14:16","And I will ask the Father, and He will give you another Counselor to be with you forever. "
"TCC17","John 14:17","He is the Spirit of truth. The world is unable to receive Him because it doesn't see Him or know Him. But you do know Him, because He remains with you and will be in you. "
"TCC18","John 14:18","I will not leave you as orphans; I am coming to you.  "
"TCC19","John 14:19","&quot;In a little while the world will see Me no longer, but you will see Me. Because I live, you will live too. "
"TCC20","John 14:20","In that day you will know that I am in My Father, you are in Me, and I am in you. "
"TCC21","John 14:21","The one who has My commands and keeps them is the one who loves Me. And the one who loves Me will be loved by My Father. I also will love him and will reveal Myself to him.&quot; "
"TCC22","John 14:22","Judas (not Iscariot) said to Him, &quot;Lord, how is it You're going to reveal Yourself to us and not to the world?&quot; "
"TCC23","John 14:23","Jesus answered, &quot;If anyone loves Me, he will keep My word. My Father will love him, and We will come to him and make Our home with him. "
"TCC24","John 14:24","The one who doesn't love Me will not keep My words. The word that you hear is not Mine but is from the Father who sent Me. "
"TCC25","John 14:25","&quot;I have spoken these things to you while I remain with you. "
"TCC26","John 14:26","But the Counselor, the Holy Spirit-the Father will send Him in My name-will teach you all things and remind you of everything I have told you.  "
"TCC27","John 14:27","&quot;Peace I leave with you. My peace I give to you. I do not give to you as the world gives. Your heart must not be troubled or fearful. "
"TCC28","John 14:28","You have heard Me tell you, 'I am going away and I am coming to you.' If you loved Me, you would have rejoiced that I am going to the Father, because the Father is greater than I. "
"TCC29","John 14:29","I have told you now before it happens so that when it does happen you may believe. "
"TCC30","John 14:30","I will not talk with you much longer, because the ruler of the world is coming. He has no power over Me. "
"TCC31","John 14:31","On the contrary, [I am going away] so that the world may know that I love the Father. Just as the Father commanded Me, so I do. &quot;Get up; let's leave this place."
"TCA1","Ephesians 6:10","Finally, be strengthened by the Lord and by His vast strength. "
"TCA2","Ephesians 6:11","Put on the full armor of God so that you can stand against the tactics of the Devil. "
"TCA3","Ephesians 6:12","For our battle is not against flesh and blood, but against the rulers, against the authorities, against the world powers of this darkness, against the spiritual forces of evil in the heavens. "
"TCA4","Ephesians 6:13","This is why you must take up the full armor of God, so that you may be able to resist in the evil day, and having prepared everything, to take your stand. "
"TCA5","Ephesians 6:14","Stand, therefore, with truth like a belt around your waist, righteousness like armor on your chest, "
"TCA6","Ephesians 6:15","and your feet sandaled with readiness for the gospel of peace. "
"TCA7","Ephesians 6:16","In every situation take the shield of faith, and with it you will be able to extinguish the flaming arrows of the evil one. "
"TCA8","Ephesians 6:17","Take the helmet of salvation, and the sword of the Spirit, which is God's word. "
"TCA9","Ephesians 6:18","With every prayer and request, pray at all times in the Spirit, and stay alert in this, with all perseverance and intercession for all the saints. "
"TCA10","Ephesians 6:19","Pray also for me, that the message may be given to me when I open my mouth to make known with boldness the mystery of the gospel. "
"TCA11","Ephesians 6:20","For this I am an ambassador in chains. Pray that I might be bold enough in Him to speak as I should."
